Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"BHASKARA, A.","[455, 289, 112, 41, 28, 43]",,"BROWN, S. M.","{'Dean of Engineering', 'Professor'}",,jshat,0.157297348764067,,Secondary Cluster Index,Count,
"BERZINS, M.","[253, 179, 65, 35, 25, 25]",,"GOPALAKRISHNAN, G.",{'Professor'},,purity,0.4523809523809524,,0,3,
"YUKSEL, C.","[468, 257, 139, 60, 39, 25]",,"HALL, M. W.",{'Professor'},,fowlkes mallows index,0.2966105215926572,,1,3,
"SUNDAR, H.","[423, 255, 95, 48, 57, 22]",,"JOHNSON, C. R.",{'Distinguished Professor'},,,,,2,1,
"HOLLERBACH, J. M.","[290, 217, 66, 20, 25, 23]",,"KIRBY II, R. M.","{'Associate Director', 'Professor'}",,,,,3,1,
"HANSEN, C. D.","[541, 384, 189, 84, 41, 58]",,"BERZINS, M.",{'Professor'},,,,,4,0,
"DE ST GERMAIN, H. J.","[2877, 2100, 604, 179, 119, 154]",,"KASERA, S. K.",{'Professor'},
"DENNING, T.","[253, 178, 76, 40, 36, 25]",,"Kessler, B.",{'Professor'},,,,,Primary Cluster 1 Table,
,,,"REGEHR, J.",{'Professor'},,,,,Secondary Cluster Index,Count,
Cluster 1,,,"WHITAKER, R. T.","{'Director', 'Professor'}",,,,,0,5,
"BROWN, S. M.","[0, 0, 0, 0, 0, 0]",,"RILOFF, E. M.",{'Professor'},,,,,1,5,
"JOHNSON, C. R.","[0, 0, 0, 0, 0, 0]",,"FLATT, M.",{'Professor'},,,,,2,1,
"Cardona-Rivera, R.","[0, 0, 0, 0, 0, 0]",,"HENDERSON, T. C.",{'Professor'},,,,,3,0,
"Kessler, B.","[0, 0, 0, 0, 0, 0]",,"Young, R.","{'EAE', 'Professor'}",,,,,4,0,
"ZHE, S.","[0, 0, 0, 0, 0, 0]",,"HOLLERBACH, J. M.",{'Professor'},
"Bojnordi, M.","[0, 0, 0, 0, 0, 0]",,"VENKATASUBRAMANIAN, S.",{'Professor'},,,,,Primary Cluster 2 Table,
"Young, R.","[0, 0, 0, 0, 0, 0]",,"LI, F.",{'Professor'},,,,,Secondary Cluster Index,Count,
"LI, F.","[0, 0, 0, 0, 0, 0]",,"HANSEN, C. D.",{'Professor'},,,,,0,2,
