Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"HALL, M. W.","[0.559, 0.269, 0.11, 0.012, 0.041, 0.008, 0.0]",,"BROWN, S. M.","{'Dean of Engineering', 'Professor'}",,jshat,0.21360075110075108,,Secondary Cluster Index,Count,
"KIRBY II, R. M.","[0.312, 0.484, 0.086, 0.0, 0.078, 0.039, 0.0]",,"GOPALAKRISHNAN, G.",{'Professor'},,purity,0.5238095238095238,,0,5,
"SRIKUMAR, V.","[0.509, 0.37, 0.103, 0.012, 0.006, 0.0, 0.0]",,"HALL, M. W.",{'Professor'},,fowlkes mallows index,0.33460028329502645,,1,3,
"BERZINS, M.","[0.498, 0.369, 0.06, 0.014, 0.032, 0.028, 0.0]",,"JOHNSON, C. R.",{'Distinguished Professor'},,,,,2,2,
"JENSEN, P. A.","[0.53, 0.272, 0.098, 0.054, 0.041, 0.006, 0.0]",,"KIRBY II, R. M.","{'Associate Director', 'Professor'}",,,,,3,0,
"SUNDAR, H.","[0.357, 0.526, 0.051, 0.0, 0.041, 0.026, 0.0]",,"BERZINS, M.",{'Professor'},,,,,4,0,
"FLATT, M.","[0.545, 0.253, 0.115, 0.022, 0.033, 0.031, 0.0]",,"KASERA, S. K.",{'Professor'},
"JOHNSON, D. E.","[0.486, 0.279, 0.099, 0.028, 0.083, 0.025, 0.0]",,"Kessler, B.",{'Professor'},,,,,Primary Cluster 1 Table,
"LI, F.","[0.478, 0.439, 0.056, 0.017, 0.002, 0.007, 0.0]",,"REGEHR, J.",{'Professor'},,,,,Secondary Cluster Index,Count,
"DE ST GERMAIN, H. J.","[0.52, 0.347, 0.068, 0.011, 0.039, 0.015, 0.0]",,"WHITAKER, R. T.","{'Director', 'Professor'}",,,,,0,2,
,,,"RILOFF, E. M.",{'Professor'},,,,,1,4,
Cluster 1,,,"FLATT, M.",{'Professor'},,,,,2,1,
"Cardona-Rivera, R.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"HENDERSON, T. C.",{'Professor'},,,,,3,0,
"Kessler, B.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"Young, R.","{'EAE', 'Professor'}",,,,,4,0,
"Bojnordi, M.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"HOLLERBACH, J. M.",{'Professor'},
"Young, R.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"VENKATASUBRAMANIAN, S.",{'Professor'},,,,,Primary Cluster 2 Table,
"Jones, B.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"LI, F.",{'Professor'},,,,,Secondary Cluster Index,Count,
"Ramalingam, S.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"HANSEN, C. D.",{'Professor'},,,,,0,4,
"Hermans, T.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"COHEN, E.",{'Professor'},,,,,1,1,
,,,,,,,,,2,1,
Cluster 2,,,Cluster 1,,,,,,3,1,
"GOPALAKRISHNAN, G.","[0.362, 0.396, 0.112, 0.038, 0.092, 0.0, 0.0]",,"KAVAN, L.",{'Assistant Professor'},,,,,4,0,
"REGEHR, J.","[0.302, 0.552, 0.129, 0.009, 0.009, 0.0, 0.0]",,"BHASKARA, A.",{'Assistant Professor'},
"YUKSEL, C.","[0.432, 0.318, 0.209, 0.041, 0.0, 0.0, 0.0]",,"SRIKUMAR, V.",{'Assistant Professor'},,,,,Primary Cluster 3 Table,
"RILOFF, E. M.","[0.455, 0.477, 0.068, 0.0, 0.0, 0.0, 0.0]",,"Cardona-Rivera, R.",{'Assistant Professor'},,,,,Secondary Cluster Index,Count,
"VAN DER MERWE, J. E.","[0.444, 0.313, 0.178, 0.019, 0.024, 0.022, 0.0]",,"SUNDAR, H.",{'Assistant Professor'},,,,,0,7,
"KOPTA, D. M.","[0.417, 0.379, 0.111, 0.034, 0.052, 0.007, 0.0]",,"STUTSMAN, R.",{'Assistant Professor'},,,,,1,6,
"HANSEN, C. D.","[0.439, 0.306, 0.147, 0.029, 0.054, 0.025, 0.0]",,"WIESE, J.",{'Assistant Professor'},,,,,2,1,
,,,"ZHE, S.",{'Assistant Professor'},,,,,3,0,
Cluster 3,,,"Bojnordi, M.",{'Assistant Professor'},,,,,4,0,
"BROWN, S. M.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"JOHNSON, D. E.","{'Assistant Professor', 'Lecturer'}",
"KAVAN, L.","[0.907, 0.064, 0.02, 0.0, 0.0, 0.01, 0.0]",,"BRUNVAND, E. L.",{'Assistant Professor'},,,,,Primary Cluster 4 Table,
"JOHNSON, C. R.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"KOPTA, D. M.","{'Assistant Professor', 'Lecturer'}",,,,,Secondary Cluster Index,Count,
"KASERA, S. K.","[0.697, 0.258, 0.03, 0.0, 0.0, 0.015, 0.0]",,"Jones, B.","{'Assistant Professor', 'Lecturer'}",,,,,0,0,
"PHILLIPS, J.","[0.615, 0.311, 0.057, 0.004, 0.012, 0.0, 0.0]",,"DENNING, T.",{'Assistant Professor'},,,,,1,1,
"STUTSMAN, R.","[0.571, 0.36, 0.05, 0.006, 0.012, 0.0, 0.0]",,"Hermans, T.",{'Assistant Professor'},,,,,2,0,
"WHITAKER, R. T.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,3,0,
"WIESE, J.","[0.617, 0.372, 0.011, 0.0, 0.0, 0.0, 0.0]",,Cluster 2,,,,,,4,0,
"ZHE, S.","[0.783, 0.15, 0.033, 0.0, 0.033, 0.0, 0.0]",,"JENSEN, P. A.","{'Lecturer', 'Associate Professor'}",
"HENDERSON, T. C.","[0.607, 0.334, 0.036, 0.0, 0.023, 0.0, 0.0]",,"PHILLIPS, J.",{'Associate Professor'},,,,,Primary Cluster 5 Table,
"HOLLERBACH, J. M.","[0.753, 0.146, 0.045, 0.011, 0.045, 0.0, 0.0]",,"PARKER, D.","{'Lecturer', 'Associate Professor'}",,,,,Secondary Cluster Index,Count,
"BRUNVAND, E. L.","[0.77, 0.189, 0.025, 0.0, 0.016, 0.0, 0.0]",,"VAN DER MERWE, J. E.",{'Associate Professor'},,,,,0,1,
"VENKATASUBRAMANIAN, S.","[0.76, 0.16, 0.04, 0.0, 0.04, 0.0, 0.0]",,"DE ST GERMAIN, H. J.","{'Lecturer', 'Associate Professor'}",,,,,1,0,
"DENNING, T.","[0.609, 0.31, 0.057, 0.011, 0.011, 0.0, 0.0]",,"Ramalingam, S.",{'Associate Professor'},,,,,2,1,
,,,,,,,,,3,0,
Cluster 4,,,Cluster 3,,,,,,4,1,
"BHASKARA, A.","[0.7, 0.15, 0.05, 0.0, 0.1, 0.0, 0.0]",,"YUKSEL, C.","{'USTAR', 'Assistant Professor'}",

Cluster 5,,,Cluster 4,
"ZACHARY, J. L.","[0.348, 0.328, 0.153, 0.038, 0.109, 0.025, 0.0]",,"ZACHARY, J. L.","{'Lecturer', 'Professor'}",
"PARKER, D.","[0.287, 0.349, 0.157, 0.073, 0.127, 0.007, 0.0]",
"COHEN, E.","[0.341, 0.252, 0.192, 0.086, 0.129, 0.0, 0.0]",
