Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"Kessler, B.",Systems software and software engineering,,"DENNING, T.","[253, 178, 76, 40, 36, 25]",,jshat,0.18214790655967128,,Secondary Cluster Index,Count,
"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,"BERZINS, M.","[253, 179, 65, 35, 25, 25]",,purity,0.5714285714285714,,0,1,
"JOHNSON, D. E.","""Geometric computation, haptics, robotics, educational research""",,"SUNDAR, H.","[423, 255, 95, 48, 57, 22]",,fowlkes mallows index,0.23814102123922345,,1,2,
"GOPALAKRISHNAN, G.","""Dynamic formal verification of message passing (MPI) and thread programs, formal analysis/verification of protocols, Verification tool development""",,"YUKSEL, C.","[468, 257, 139, 60, 39, 25]",,,,,2,1,
"Hermans, T.",Autonomous learning and perception in robots,,"HANSEN, C. D.","[541, 384, 189, 84, 41, 58]",,,,,3,2,
"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,"BHASKARA, A.","[455, 289, 112, 41, 28, 43]",,,,,4,2,
"VENKATASUBRAMANIAN, S.","""I work in algorithms and computational geometry, with a current focus on data mining and large-data (and large-dimension) geometric questions.""",,"HENDERSON, T. C.","[444, 235, 83, 40, 27, 18]",,,,,5,0,
"HOLLERBACH, J. M.","""Robotics, teleoperation, virtual reality, and human motor control""",
,,,Cluster 1,,,,,,Primary Cluster 1 Table,
Cluster 1,,,"BROWN, S. M.","[0, 0, 0, 0, 0, 0]",,,,,Secondary Cluster Index,Count,
"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",,"Bojnordi, M.","[0, 0, 0, 0, 0, 0]",,,,,0,0,
"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",,"JOHNSON, C. R.","[0, 0, 0, 0, 0, 0]",,,,,1,0,
,,,"Kessler, B.","[0, 0, 0, 0, 0, 0]",,,,,2,0,
Cluster 2,,,"Ramalingam, S.","[0, 0, 0, 0, 0, 0]",,,,,3,2,
"JENSEN, P. A.",na,,"ZHE, S.","[0, 0, 0, 0, 0, 0]",,,,,4,0,
