Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"Kessler, B.",Systems software and software engineering,,"WHITAKER, R. T.",Male,,jshat,0.0956299156299156,,Secondary Cluster Index,Count,
"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,"Ramalingam, S.",Male,,purity,0.9047619047619048,,0,8,
"JOHNSON, D. E.","""Geometric computation, haptics, robotics, educational research""",,"SUNDAR, H.",Male,,fowlkes mallows index,0.3176529564791248,,1,0,
"GOPALAKRISHNAN, G.","""Dynamic formal verification of message passing (MPI) and thread programs, formal analysis/verification of protocols, Verification tool development""",,"YUKSEL, C.",Male,
"Hermans, T.",Autonomous learning and perception in robots,,"ZHE, S.",Male,,,,,Primary Cluster 1 Table,
"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,"ZACHARY, J. L.",Male,,,,,Secondary Cluster Index,Count,
"VENKATASUBRAMANIAN, S.","""I work in algorithms and computational geometry, with a current focus on data mining and large-data (and large-dimension) geometric questions.""",,"HENDERSON, T. C.",Male,,,,,0,2,
"HOLLERBACH, J. M.","""Robotics, teleoperation, virtual reality, and human motor control""",,"STUTSMAN, R.",Male,,,,,1,0,
,,,"PHILLIPS, J.",Male,
Cluster 1,,,"BERZINS, M.",Male,,,,,Primary Cluster 2 Table,
"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",,"JOHNSON, D. E.",Male,,,,,Secondary Cluster Index,Count,
"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",,"KIRBY II, R. M.",Male,,,,,0,1,
,,,"WIESE, J.",Male,,,,,1,1,
Cluster 2,,,"BRUNVAND, E. L.",Male,
"JENSEN, P. A.",na,,"Hermans, T.",Male,,,,,Primary Cluster 3 Table,
"PARKER, D.",na,,"Cardona-Rivera, R.",Male,,,,,Secondary Cluster Index,Count,
,,,"BROWN, S. M.",Male,,,,,0,1,
Cluster 3,,,"Bojnordi, M.",Male,,,,,1,0,
"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,,"JOHNSON, C. R.",Male,
,,,"Kessler, B.",Male,,,,,Primary Cluster 4 Table,
Cluster 4,,,"GOPALAKRISHNAN, G.",Male,,,,,Secondary Cluster Index,Count,
"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",,"REGEHR, J.",Male,,,,,0,0,
,,,"VAN DER MERWE, J. E.",Male,,,,,1,1,
Cluster 5,,,"FLATT, M.",Male,
"RILOFF, E. M.","""Natural language processing, information retrieval, and artificial intelligence""",,"HANSEN, C. D.",Male,,,,,Primary Cluster 5 Table,
"SRIKUMAR, V.",Machine Learning; Natural Language Processing,,"DE ST GERMAIN, H. J.",Male,,,,,Secondary Cluster Index,Count,
"DE ST GERMAIN, H. J.","""Reverse Engineering and Constraint Optimization, Artificial Intelligence, technological aids for education""",,"JENSEN, P. A.",Male,,,,,0,4,
"Young, R.","""Artificial Intelligence, Video games, Interactive narrative""",,"LI, F.",Male,,,,,1,1,
"Cardona-Rivera, R.","""Computational psychology, artificial intelligence, game design, interactive narrative""",,"HOLLERBACH, J. M.",Male,
,,,"Jones, B.",Male,,,,,Primary Cluster 6 Table,
Cluster 6,,,"KAVAN, L.",Male,,,,,Secondary Cluster Index,Count,
"KAVAN, L.",Computer graphics and animation.,,"SRIKUMAR, V.",Male,,,,,0,4,
"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,"KASERA, S. K.",Male,,,,,1,1,
"COHEN, E.","""Problems in modeling, graphics, and visualization which require geometric computation and analysis.""",,"Young, R.",Male,
"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,"KOPTA, D. M.",Male,,,,,Primary Cluster 7 Table,
"Jones, B.","""Computer graphics, physical simulation""",,"BHASKARA, A.",Male,,,,,Secondary Cluster Index,Count,
,,,"VENKATASUBRAMANIAN, S.",Male,,,,,0,2,
Cluster 7,,,,,,,,,1,1,
"DENNING, T.","""Security and Privacy, Human-Centric Computing""",,Cluster 1,
"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,"DENNING, T.",Female,,,,,Primary Cluster 8 Table,
"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",,"RILOFF, E. M.",Female,,,,,Secondary Cluster Index,Count,
,,,"HALL, M. W.",Female,,,,,0,1,
Cluster 8,,,"COHEN, E.",Female,,,,,1,0,
"BRUNVAND, E. L.",Computer architecture and VLSI systems,,"PARKER, D.",Female,
,,,,,,,,,Primary Cluster 9 Table,
Cluster 9,,,,,,,,,Secondary Cluster Index,Count,
"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,,,,,,,0,2,
