Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"KAVAN, L.",Computer graphics and animation.,,"BROWN, S. M.","{'Dean of Engineering', 'Professor'}",,jshat,0.12081968205537996,,Secondary Cluster Index,Count,
"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,"GOPALAKRISHNAN, G.",{'Professor'},,purity,0.6190476190476191,,0,5,
"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",,"HALL, M. W.",{'Professor'},,fowlkes mallows index,0.26999739375674486,,1,5,
"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,"JOHNSON, C. R.",{'Distinguished Professor'},,,,,2,1,
"Kessler, B.",Systems software and software engineering,,"KIRBY II, R. M.","{'Associate Director', 'Professor'}",,,,,3,1,
"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,"BERZINS, M.",{'Professor'},,,,,4,1,
"WIESE, J.","""Personal data, HCI""",,"KASERA, S. K.",{'Professor'},
"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,,"Kessler, B.",{'Professor'},,,,,Primary Cluster 1 Table,
"Jones, B.","""Computer graphics, physical simulation""",,"REGEHR, J.",{'Professor'},,,,,Secondary Cluster Index,Count,
"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,"WHITAKER, R. T.","{'Director', 'Professor'}",,,,,0,3,
"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,"RILOFF, E. M.",{'Professor'},,,,,1,4,
"DENNING, T.","""Security and Privacy, Human-Centric Computing""",,"FLATT, M.",{'Professor'},,,,,2,0,
"Hermans, T.",Autonomous learning and perception in robots,,"HENDERSON, T. C.",{'Professor'},,,,,3,0,
,,,"Young, R.","{'EAE', 'Professor'}",,,,,4,0,
Cluster 1,,,"HOLLERBACH, J. M.",{'Professor'},
"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",,"VENKATASUBRAMANIAN, S.",{'Professor'},,,,,Primary Cluster 2 Table,
"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",,"LI, F.",{'Professor'},,,,,Secondary Cluster Index,Count,
"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",,"HANSEN, C. D.",{'Professor'},,,,,0,1,
"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",,"COHEN, E.",{'Professor'},,,,,1,0,
"BRUNVAND, E. L.",Computer architecture and VLSI systems,,,,,,,,2,0,
"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,Cluster 1,,,,,,3,0,
"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,"KAVAN, L.",{'Assistant Professor'},,,,,4,0,
,,,"BHASKARA, A.",{'Assistant Professor'},
Cluster 2,,,"SRIKUMAR, V.",{'Assistant Professor'},,,,,Primary Cluster 3 Table,
"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,"Cardona-Rivera, R.",{'Assistant Professor'},,,,,Secondary Cluster Index,Count,
,,,"SUNDAR, H.",{'Assistant Professor'},,,,,0,1,
Cluster 3,,,"STUTSMAN, R.",{'Assistant Professor'},,,,,1,0,
"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,"WIESE, J.",{'Assistant Professor'},,,,,2,0,
,,,"ZHE, S.",{'Assistant Professor'},,,,,3,0,
Cluster 4,,,"Bojnordi, M.",{'Assistant Professor'},,,,,4,0,
"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",,"JOHNSON, D. E.","{'Assistant Professor', 'Lecturer'}",
