Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"VENKATASUBRAMANIAN, S.",Male,,"VENKATASUBRAMANIAN, S.","""I work in algorithms and computational geometry, with a current focus on data mining and large-data (and large-dimension) geometric questions.""",,jshat,0.15004290004290002,,Secondary Cluster Index,Count,
"Ramalingam, S.",Male,,"Ramalingam, S.","""Computer Vision, Machine Learning, Robotics (Autonomous Driving applications), and Discrete Optimization""",,purity,0.8571428571428571,,0,31,
"KASERA, S. K.",Male,,"DE ST GERMAIN, H. J.","""Reverse Engineering and Constraint Optimization, Artificial Intelligence, technological aids for education""",,fowlkes mallows index,0.7372524115780307,,1,1,
"DE ST GERMAIN, H. J.",Male,,"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,,,,2,2,
"YUKSEL, C.",Male,,"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,,,,3,1,
"KOPTA, D. M.",Male,,"JENSEN, P. A.",na,,,,,4,1,
"JENSEN, P. A.",Male,,"BHASKARA, A.",Theoretical computer science and machine learning.,,,,,5,1,
"BHASKARA, A.",Male,,"WIESE, J.","""Personal data, HCI""",
"WIESE, J.",Male,,"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,,,,Primary Cluster 1 Table,
"FLATT, M.",Male,,"SRIKUMAR, V.",Machine Learning; Natural Language Processing,,,,,Secondary Cluster Index,Count,
"SRIKUMAR, V.",Male,,"BRUNVAND, E. L.",Computer architecture and VLSI systems,,,,,0,5,
"Hermans, T.",Male,,"Jones, B.","""Computer graphics, physical simulation""",,,,,1,0,
"VAN DER MERWE, J. E.",Male,,"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,,,,2,0,
"BRUNVAND, E. L.",Male,,"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,,,,3,0,
"Jones, B.",Male,,"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,,,,4,0,
"BERZINS, M.",Male,,"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,,,,5,0,
"KAVAN, L.",Male,,"DENNING, T.","""Security and Privacy, Human-Centric Computing""",
"ZACHARY, J. L.",Male,,"PARKER, D.",na,
"HANSEN, C. D.",Male,,"ZHE, S.","""Probabilistic graphical models, Bayesian nonparametric, approximate inference, Bayesian deep learning, sparse learning, large-scale machine learning and kernel methods.""",
"LI, F.",Male,,"JOHNSON, C. R.",Scientific Computing and Visualization,
"STUTSMAN, R.",Male,,"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",
"ZHE, S.",Male,,"Kessler, B.",Systems software and software engineering,
"JOHNSON, C. R.",Male,,"JOHNSON, D. E.","""Geometric computation, haptics, robotics, educational research""",
"WHITAKER, R. T.",Male,,"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",
"Kessler, B.",Male,,"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,
"JOHNSON, D. E.",Male,,"COHEN, E.","""Problems in modeling, graphics, and visualization which require geometric computation and analysis.""",
"REGEHR, J.",Male,,"RILOFF, E. M.","""Natural language processing, information retrieval, and artificial intelligence""",
"BROWN, S. M.",Male,,"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,
"KIRBY II, R. M.",Male,,"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",
"SUNDAR, H.",Male,,"Young, R.","""Artificial Intelligence, Video games, Interactive narrative""",
"Young, R.",Male,,"HOLLERBACH, J. M.","""Robotics, teleoperation, virtual reality, and human motor control""",
"HOLLERBACH, J. M.",Male,,"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,
"HENDERSON, T. C.",Male,,"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",
"PHILLIPS, J.",Male,,"GOPALAKRISHNAN, G.","""Dynamic formal verification of message passing (MPI) and thread programs, formal analysis/verification of protocols, Verification tool development""",
"GOPALAKRISHNAN, G.",Male,,"Cardona-Rivera, R.","""Computational psychology, artificial intelligence, game design, interactive narrative""",
"Cardona-Rivera, R.",Male,,"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",
"Bojnordi, M.",Male,
,,,Cluster 1,
Cluster 1,,,"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",
"PARKER, D.",Female,
"COHEN, E.",Female,,Cluster 2,
"RILOFF, E. M.",Female,,"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",
"HALL, M. W.",Female,,"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",
"DENNING, T.",Female,
,,,Cluster 3,
,,,"Hermans, T.",Autonomous learning and perception in robots,

,,,Cluster 4,
,,,"KAVAN, L.",Computer graphics and animation.,

,,,Cluster 5,
,,,"KIRBY II, R. M.",Scientific computing and visualization,
