Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"WHITAKER, R. T.",Male,,"BROWN, S. M.","{'Professor', 'Dean of Engineering'}",,jshat,0.20914041861410287,,Secondary Cluster Index,Count,
"Ramalingam, S.",Male,,"WHITAKER, R. T.","{'Director', 'Professor'}",,purity,0.4523809523809524,,0,16,
"SUNDAR, H.",Male,,"Kessler, B.",{'Professor'},,fowlkes mallows index,0.537391226886516,,1,2,
"YUKSEL, C.",Male,,"BERZINS, M.",{'Professor'},,,,,2,15,
"ZHE, S.",Male,,"KASERA, S. K.",{'Professor'},,,,,3,1,
"ZACHARY, J. L.",Male,,"RILOFF, E. M.",{'Professor'},,,,,4,3,
"HENDERSON, T. C.",Male,,"GOPALAKRISHNAN, G.",{'Professor'},
"STUTSMAN, R.",Male,,"REGEHR, J.",{'Professor'},,,,,Primary Cluster 1 Table,
"PHILLIPS, J.",Male,,"HALL, M. W.",{'Professor'},,,,,Secondary Cluster Index,Count,
"BERZINS, M.",Male,,"FLATT, M.",{'Professor'},,,,,0,3,
"JOHNSON, D. E.",Male,,"COHEN, E.",{'Professor'},,,,,1,1,
"KIRBY II, R. M.",Male,,"HANSEN, C. D.",{'Professor'},,,,,2,1,
"WIESE, J.",Male,,"KIRBY II, R. M.","{'Professor', 'Associate Director'}",,,,,3,0,
"BRUNVAND, E. L.",Male,,"Young, R.","{'Professor', 'EAE'}",,,,,4,0,
"Hermans, T.",Male,,"ZACHARY, J. L.","{'Professor', 'Lecturer'}",
"Cardona-Rivera, R.",Male,,"LI, F.",{'Professor'},
"BROWN, S. M.",Male,,"VENKATASUBRAMANIAN, S.",{'Professor'},
"Bojnordi, M.",Male,,"HOLLERBACH, J. M.",{'Professor'},
"JOHNSON, C. R.",Male,,"HENDERSON, T. C.",{'Professor'},
"Kessler, B.",Male,
"GOPALAKRISHNAN, G.",Male,,Cluster 1,
"REGEHR, J.",Male,,"JENSEN, P. A.","{'Associate Professor', 'Lecturer'}",
"VAN DER MERWE, J. E.",Male,,"DE ST GERMAIN, H. J.","{'Associate Professor', 'Lecturer'}",
"FLATT, M.",Male,,"PARKER, D.","{'Associate Professor', 'Lecturer'}",
"HANSEN, C. D.",Male,
"DE ST GERMAIN, H. J.",Male,,Cluster 2,
"JENSEN, P. A.",Male,,"Bojnordi, M.",{'Assistant Professor'},
"LI, F.",Male,,"DENNING, T.",{'Assistant Professor'},
"HOLLERBACH, J. M.",Male,,"KAVAN, L.",{'Assistant Professor'},
"Jones, B.",Male,,"SRIKUMAR, V.",{'Assistant Professor'},
"KAVAN, L.",Male,,"JOHNSON, D. E.","{'Lecturer', 'Assistant Professor'}",
"SRIKUMAR, V.",Male,,"SUNDAR, H.",{'Assistant Professor'},
"KASERA, S. K.",Male,,"YUKSEL, C.","{'USTAR', 'Assistant Professor'}",
"Young, R.",Male,,"ZHE, S.",{'Assistant Professor'},
"KOPTA, D. M.",Male,,"WIESE, J.",{'Assistant Professor'},
"BHASKARA, A.",Male,,"Hermans, T.",{'Assistant Professor'},
"VENKATASUBRAMANIAN, S.",Male,,"Jones, B.","{'Lecturer', 'Assistant Professor'}",
,,,"BRUNVAND, E. L.",{'Assistant Professor'},
Cluster 1,,,"BHASKARA, A.",{'Assistant Professor'},
"DENNING, T.",Female,,"KOPTA, D. M.","{'Lecturer', 'Assistant Professor'}",
"RILOFF, E. M.",Female,,"STUTSMAN, R.",{'Assistant Professor'},
"HALL, M. W.",Female,,"Cardona-Rivera, R.",{'Assistant Professor'},
"COHEN, E.",Female,
"PARKER, D.",Female,,Cluster 3,
,,,"JOHNSON, C. R.",{'Distinguished Professor'},

,,,Cluster 4,
,,,"VAN DER MERWE, J. E.",{'Associate Professor'},
,,,"PHILLIPS, J.",{'Associate Professor'},
,,,"Ramalingam, S.",{'Associate Professor'},
