Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"BROWN, S. M.","{'Professor', 'Dean of Engineering'}",,"DENNING, T.","[253, 178, 76, 40, 36, 25]",,jshat,0.18408621821934515,,Secondary Cluster Index,Count,
"WHITAKER, R. T.","{'Director', 'Professor'}",,"BERZINS, M.","[253, 179, 65, 35, 25, 25]",,purity,0.40476190476190477,,0,3,
"Kessler, B.",{'Professor'},,"SUNDAR, H.","[423, 255, 95, 48, 57, 22]",,fowlkes mallows index,0.30723895778171756,,1,4,
"BERZINS, M.",{'Professor'},,"YUKSEL, C.","[468, 257, 139, 60, 39, 25]",,,,,2,3,
"KASERA, S. K.",{'Professor'},,"HANSEN, C. D.","[541, 384, 189, 84, 41, 58]",,,,,3,7,
"RILOFF, E. M.",{'Professor'},,"BHASKARA, A.","[455, 289, 112, 41, 28, 43]",,,,,4,1,
"GOPALAKRISHNAN, G.",{'Professor'},,"HENDERSON, T. C.","[444, 235, 83, 40, 27, 18]",,,,,5,1,
"REGEHR, J.",{'Professor'},
"HALL, M. W.",{'Professor'},,Cluster 1,,,,,,Primary Cluster 1 Table,
"FLATT, M.",{'Professor'},,"BROWN, S. M.","[0, 0, 0, 0, 0, 0]",,,,,Secondary Cluster Index,Count,
"COHEN, E.",{'Professor'},,"Bojnordi, M.","[0, 0, 0, 0, 0, 0]",,,,,0,0,
"HANSEN, C. D.",{'Professor'},,"JOHNSON, C. R.","[0, 0, 0, 0, 0, 0]",,,,,1,0,
"KIRBY II, R. M.","{'Professor', 'Associate Director'}",,"Kessler, B.","[0, 0, 0, 0, 0, 0]",,,,,2,0,
"Young, R.","{'Professor', 'EAE'}",,"Ramalingam, S.","[0, 0, 0, 0, 0, 0]",,,,,3,2,
"ZACHARY, J. L.","{'Professor', 'Lecturer'}",,"ZHE, S.","[0, 0, 0, 0, 0, 0]",,,,,4,1,
"LI, F.",{'Professor'},,"Hermans, T.","[0, 0, 0, 0, 0, 0]",,,,,5,0,
"VENKATASUBRAMANIAN, S.",{'Professor'},,"Jones, B.","[0, 0, 0, 0, 0, 0]",
"HOLLERBACH, J. M.",{'Professor'},,"Young, R.","[0, 0, 0, 0, 0, 0]",,,,,Primary Cluster 2 Table,
"HENDERSON, T. C.",{'Professor'},,"LI, F.","[0, 0, 0, 0, 0, 0]",,,,,Secondary Cluster Index,Count,
,,,"Cardona-Rivera, R.","[0, 0, 0, 0, 0, 0]",,,,,0,4,
Cluster 1,,,,,,,,,1,5,
"JENSEN, P. A.","{'Associate Professor', 'Lecturer'}",,Cluster 2,,,,,,2,0,
"DE ST GERMAIN, H. J.","{'Associate Professor', 'Lecturer'}",,"GOPALAKRISHNAN, G.","[559, 561, 332, 163, 137, 194]",,,,,3,5,
"PARKER, D.","{'Associate Professor', 'Lecturer'}",,"HALL, M. W.","[302, 239, 158, 103, 116, 172]",,,,,4,1,
,,,"COHEN, E.","[347, 344, 205, 123, 106, 203]",,,,,5,1,
Cluster 2,
"Bojnordi, M.",{'Assistant Professor'},,Cluster 3,,,,,,Primary Cluster 3 Table,
"DENNING, T.",{'Assistant Professor'},,"WHITAKER, R. T.","[244, 71, 3, 0, 0, 13]",,,,,Secondary Cluster Index,Count,
"KAVAN, L.",{'Assistant Professor'},,"STUTSMAN, R.","[758, 141, 16, 1, 0, 14]",,,,,0,0,
"SRIKUMAR, V.",{'Assistant Professor'},,"KAVAN, L.","[241, 109, 22, 3, 1, 0]",,,,,1,1,
"JOHNSON, D. E.","{'Lecturer', 'Assistant Professor'}",,"PHILLIPS, J.","[1255, 562, 131, 31, 16, 56]",,,,,2,0,
"SUNDAR, H.",{'Assistant Professor'},,"RILOFF, E. M.","[762, 343, 77, 30, 8, 3]",,,,,3,0,
"YUKSEL, C.","{'USTAR', 'Assistant Professor'}",,"KASERA, S. K.","[502, 227, 24, 8, 7, 7]",,,,,4,0,
"ZHE, S.",{'Assistant Professor'},,"SRIKUMAR, V.","[1593, 585, 89, 33, 19, 59]",,,,,5,0,
"WIESE, J.",{'Assistant Professor'},,"JENSEN, P. A.","[3737, 1372, 314, 142, 39, 79]",
"Hermans, T.",{'Assistant Professor'},,"REGEHR, J.","[691, 293, 70, 12, 3, 6]",,,,,Primary Cluster 4 Table,
"Jones, B.","{'Lecturer', 'Assistant Professor'}",,"VAN DER MERWE, J. E.","[1238, 510, 135, 57, 16, 21]",,,,,Secondary Cluster Index,Count,
"BRUNVAND, E. L.",{'Assistant Professor'},,"FLATT, M.","[2207, 474, 70, 9, 3, 40]",,,,,0,0,
"BHASKARA, A.",{'Assistant Professor'},,"ZACHARY, J. L.","[6443, 2632, 568, 126, 118, 123]",,,,,1,1,
"KOPTA, D. M.","{'Lecturer', 'Assistant Professor'}",,"BRUNVAND, E. L.","[318, 156, 35, 6, 0, 2]",,,,,2,0,
"STUTSMAN, R.",{'Assistant Professor'},,"VENKATASUBRAMANIAN, S.","[1041, 437, 156, 44, 29, 27]",,,,,3,2,
"Cardona-Rivera, R.",{'Assistant Professor'},,"KOPTA, D. M.","[1952, 790, 152, 28, 5, 21]",,,,,4,0,
,,,"PARKER, D.","[3068, 1461, 470, 144, 162, 268]",,,,,5,0,
Cluster 3,
"JOHNSON, C. R.",{'Distinguished Professor'},,Cluster 4,
,,,"DE ST GERMAIN, H. J.","[2877, 2100, 604, 179, 119, 154]",
Cluster 4,,,"HOLLERBACH, J. M.","[290, 217, 66, 20, 25, 23]",
"VAN DER MERWE, J. E.",{'Associate Professor'},,"JOHNSON, D. E.","[3779, 2278, 467, 82, 94, 111]",
"PHILLIPS, J.",{'Associate Professor'},
"Ramalingam, S.",{'Associate Professor'},,Cluster 5,
,,,"WIESE, J.","[112, 114, 40, 21, 18, 34]",
,,,"KIRBY II, R. M.","[240, 304, 144, 76, 60, 59]",
